URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationBodyExposure,0.1.0,draft,,NoDomainVitalSignsObservationBodyExposure,NoDomainVitalSignsObservationBodyExposure,"Codes representing body exposure",,"SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationBodyHeightBodyPosition,0.1.0,draft,,NoDomainVitalSignsObservationBodyHeightBodyPosition,NoDomainVitalSignsObservationBodyHeightBodyPosition,"Codes representing body position for body height",,"SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationBodyTempBodySite,0.1.0,draft,,NoDomainVitalSignsObservationBodyTempBodySite,NoDomainVitalSignsObservationBodyTempBodySite,"Codes representing body site for body temperature","StructureDefinition/NoImplVitalSignsObservationBodyTemp","SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationClothingState,0.1.0,draft,,NoDomainVitalSignsObservationClothingState,NoDomainVitalSignsObservationClothingState,"Codes representing level of clothing","StructureDefinition/NoImplVitalSignsObservationClothingState","SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationCuffsize,0.1.0,draft,,NoDomainVitalSignsObservationCuffsize,NoDomainVitalSignsObservationCuffsize,"Codes representing cuff size",,"SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationDiastolicendPoint,0.1.0,draft,,NoDomainVitalSignsObservationDiastolicendPoint,NoDomainVitalSignsObservationDiastolicendPoint,"Codes representing Diastolic end point",,"SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationHeartRateBodySite,0.1.0,draft,,NoDomainVitalSignsObservationHeartRateBodySite,NoDomainVitalSignsObservationHeartRateBodySite,"Codes representing body site for heart rate","StructureDefinition/NoImplVitalSignsObservationHeartRate","SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationHeartRateMeasurementMethod,0.1.0,draft,,NoDomainVitalSignsObservationHeartRateMeasurementMethod,NoDomainVitalSignsObservationHeartRateMeasurementMethod,"Codes representing measurement method for HeartRate","ValueSet/NoImplVitalSignsObservationHeartRateMeasurementMethod","SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationHeartRatePulseBodyPosition,0.1.0,draft,,NoDomainVitalSignsObservationHeartRatePulseBodyPosition,NoDomainVitalSignsObservationHeartRatePulseBodyPosition,"Codes representing body position for heart rate or Pulse",,"SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationHeartRhythmIrregularity,0.1.0,draft,,NoDomainVitalSignsObservationHeartRhythmIrregularity,NoDomainVitalSignsObservationHeartRhythmIrregularity,"Codes representing heart rhythm irregularity for heart rate",,"SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationPulseBodySite,0.1.0,draft,,NoDomainVitalSignsObservationPulseBodySite,NoDomainVitalSignsObservationPulseBodySite,"Codes representing body site for pulse","ValueSet/NoImplVitalSignsObservationPulseBodySite","SCT"
http://hl7.no/fhir/ValueSet/NoDomainVitalSignsObservationPulseMeasurementMethod,0.1.0,draft,,NoDomainVitalSignsObservationPulseMeasurementMethod,NoDomainVitalSignsObservationPulseMeasurementMethod,"Codes representing measurement method for HeartRate","ValueSet/NoImplVitalSignsObservationPulseMeasurementMethod","SCT"
