URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dips.no/fhir/R4/ValueSet/DIPSEncounterTypeCom,0.1.0,draft,,DIPSEncounterTypeCom,DIPSEncounterTypeCom,"Have volven codesystems and rest of the namesystem","StructureDefinition/ContactTypeExtension,StructureDefinition/DIPSR4Encounter","Other"
http://dips.no/fhir/R4/ValueSet/DIPSEncounterV3,0.1.0,draft,,DIPSEncounterV3,DIPSEncounterV3,"Codes representing body site for blood pressure","StructureDefinition/DIPSHospitalStayEncounter,StructureDefinition/DIPSR4Encounter","THO (V3)"
http://dips.no/fhir/R4/ValueSet/DIPSHealthcareServiceTypes,0.1.0,active,,DIPSHealthcareServiceTypes,,"Value Sets of DIPSHealthcareServiceTypes",,"Other"
http://dips.no/fhir/R4/ValueSet/DipsCoding1003ValueSet,0.1.0,active,,DipsCoding1003ValueSet,,"Value Sets of DipsCoding1003ValueSet",,"Other"
http://dips.no/fhir/R4/ValueSet/HealthPersonallCategoryValueset,0.1.0,draft,,HealthPersonallCategoryValueset,HealthPersonallCategoryValueset,"Have volven codesystems and rest of the namesystem","StructureDefinition/DIPSBasisPractitionerR4","Other"
http://dips.no/fhir/R4/ValueSet/KithCoding9040ValueSet,0.1.0,active,,KithCoding9040ValueSet,,"Value Sets of KithCoding9040ValueSet",,"Other"
http://dips.no/fhir/R4/ValueSet/KithHealthcareServiceTypes,0.1.0,active,,KithHealthcareServiceTypes,,"Value Sets of KithHealthcareServiceTypes",,"Other"
http://dips.no/fhir/R4/ValueSet/LanguageCodes,0.1.0,active,,LanguageCodes,,"Valesets of LanguageCodes","StructureDefinition/DIPSPatient","Other"
http://dips.no/fhir/R4/ValueSet/LocationTypes,0.1.0,active,,LocationTypes,,"Valesets of Location Types","StructureDefinition/DIPSLocation","Internal,Other"
http://dips.no/fhir/R4/ValueSet/NoImplVitalSignsObservationBloodPressureMeasurementMethod,0.1.0,draft,,NoImplVitalSignsObservationBloodPressureMeasurementMethod,,"Codes representing measurement method for heart rate","StructureDefinition/NoImplVitalSignsObservationBloodpressure","Internal"
http://dips.no/fhir/R4/ValueSet/NoImplVitalSignsObservationBodyMassIndexFormula,0.1.0,draft,,NoImplVitalSignsObservationBodyMassIndexFormula,NoImplVitalSignsObservationBodyMassIndexFormula,"Value set for DIPS Body Mass Index Formula Measurment methods","StructureDefinition/NoImplVitalSignsObservationBodyMassIndex","Internal"
